page,hits
"/favicon.ico",17
"/~nakbogha/",1
"/~nakbogha/EasySearch_php/customer_detail.php",2
"/~nakbogha/EasySearch_php/logo_re.png",15
"/~nakbogha/EasySearch_php/search_bookings_form.php",3
"/~nakbogha/EasySearch_php/search_bookings_results.php",3
"/~nakbogha/EasySearch_php/search_customers_form.php",6
"/~nakbogha/EasySearch_php/search_customers_results.php",3
"/~nakbogha/EasySearch_php/search_detail.php",4
"/~nakbogha/EasySearch_php/search_form.php",22
"/~nakbogha/EasySearch_php/search_hotel_form.php",6
"/~nakbogha/EasySearch_php/search_result.php",10
"/~nakbogha/EasySearch_php/style.css",3
"/~nakbogha/admin/index.html",14
"/~nakbogha/admin/login.php",28
"/~nakbogha/admin/logout.php",2
"/~nakbogha/admin/make_hash.php",1
"/~nakbogha/admin/tayyar/admin-staff.css",1
"/~nakbogha/admin/tayyar/index.html",1
"/~nakbogha/index.html",2
"/~nakbogha/logo_re.png",3
"/~nakbogha/security-II/make_hash.php",1
"/~nakbogha/style.css",6
